07 52 18  +22 55 05  07 51 56  +22 54 35  12 19.350
12 04 44  +36 04 28  12 04 22  +36 04 45  13 44.933
09 59 10  +30 19 31  09 58 46  +30 19 21  13 07.683
13 11 26  +28 51 07  13 11 05  +28 51 22  13 54.750
16 20 08  +14 17 28  16 19 48  +14 17 59  12 02.117
17 23 29  +48 04 40  17 23 06  +48 05 49  11 58.367
10 54 04  -10 39 22  10 53 40  -10 40 13  12 40.067
08 04 15  +14 47 56  08 03 53  +14 47 22  12 18.417
13 53 52  +22 24 50  13 53 32  +22 25 00  13 52.967
16 10 44  +54 02 21  16 10 26  +54 03 29  12 52.100
11 57 49  -15 35 48  11 57 27  -15 36 38  12 38.283
11 47 50  +12 08 25  11 47 27  +12 08 06  13 24.083
10 24 15  -20 30 18  10 23 50  -20 31 20  12 12.983
11 22 22  +53 46 11  11 22 00  +53 46 37  13 28.783
16 50 09  +31 59 37  16 49 48  +32 00 25  12 00.217
09 02 38  -06 12 56  09 02 13  -06 13 45  12 15.650
11 47 31  +20 13 04  11 47 08  +20 13 07  11 46.317
12 58 51  -07 34 09  12 58 30  -07 34 46  13 01.267
16 40 27  +41 53 26  16 40 07  +41 54 21  12 28.183
10 59 46  -25 01 13  10 59 22  -25 02 18  12 12.067
07 36 29  +31 34 40  07 36 08  +31 34 21  12 20.300
08 28 51  +50 14 54  08 28 29  +50 14 56  12 47.533
11 47 31  +20 13 04  11 47 11  +20 13 06  11 48.333
13 28 58  +24 03 58  13 28 37  +24 04 07  13 53.867
15 46 47  +08 21 52  15 46 29  +08 22 06  12 31.917
15 55 42  +15 54 01  15 55 24  +15 54 16  12 31.000
15 01 49  -11 48 51  15 01 29  -11 48 57  12 05.733
10 26 39  -04 44 14  10 26 15  -04 45 03  12 40.983
10 54 42  +07 46 17  10 54 18  +07 45 45  13 04.883
06 58 45  +55 18 20  06 58 26  +55 18 21  12 23.100
11 18 04  +01 10 28  11 17 40  +01 09 49  13 03.950
11 50 28  -03 39 21  11 50 05  -03 39 59  13 03.067
15 09 39  +36 41 52  15 09 22  +36 42 25  13 34.400
16 36 26  +59 20 53  16 36 05  +59 22 23  12 26.300
12 47 34  -25 52 09  12 47 13  -25 52 56  12 09.350
14 02 49  +14 12 35  14 02 29  +14 12 32  13 38.800
13 28 42  +51 23 51  13 28 23  +51 24 42  13 30.817
15 09 01  +30 34 24  15 08 44  +30 34 53  13 35.317
08 37 47  -00 15 26  08 37 23  -00 16 11  12 16.550
14 24 52  +07 40 46  14 24 34  +07 40 37  13 19.567
15 21 18  +01 46 49  15 21 00  +01 46 45  12 32.833
09 46 14  +48 12 13  09 45 52  +48 12 20  13 09.583
15 40 54  +19 28 28  15 40 36  +19 28 48  12 55.850
16 17 06  +44 54 44  16 16 48  +44 55 36  12 53.033
15 13 06  +53 39 45  15 12 48  +53 40 45  13 14.033
11 28 42  -26 42 15  11 28 18  -26 43 10  12 11.183
14 42 25  +20 11 50  14 42 06  +20 12 01  13 37.083
16 00 28  -38 23 26  16 00 07  -38 23 48  13 59.050
14 34 46  +28 51 03  14 34 27  +28 51 21  13 51.183
